CP_Name,Unit_Price,Product_ID,Category_ID,Curr_Client_ID
Chicken - Bones,$3.23 ,6715167915,3138327192,1422982750
Tray - 16in Rnd Blk,$1.48 ,7364907661,1808258118,2681670667
Juice - Prune,$4.39 ,4407953039,3984463960,9740901948
Clams - Bay,$0.82 ,1526493004,4975054515,6639733382
Sugar - Crumb,$0.14 ,1195565763,9121310629,1283710765
Urban Zen Drinks,$4.11 ,2698475692,1817249649,1834508770
Loquat,$2.04 ,3636850849,5205985267,8510683441
Tomatoes - Roma,$3.76 ,8925673606,2586956427,1034074180
Flour - Fast / Rapid,$1.98 ,9782305138,8185546894,3129976000
Lobster - Live,$2.98 ,2519618981,2324453886,6086726213
"Nut - Pecan, Halves",$0.42 ,2794997718,206681720,1708061614
Chef Hat 20cm,$1.37 ,3487408929,770823343,9044477420
"Oregano - Dry, Rubbed",$0.01 ,2576211569,5226637136,7968983878
Spice - Montreal Steak Spice,$0.98 ,1662988508,3502707197,4126237259
Beans - Kidney White,$4.90 ,6876584488,6750582664,6354571686
Eggroll,$1.47 ,528714511,667029664,2999813961
Mousse - Passion Fruit,$0.68 ,1653626674,2772235254,4973144177
Smoked Tongue,$2.23 ,8612802792,9778799180,2986648800
Octopus,$1.66 ,6296345836,4806218286,7255363261
Fond - Neutral,$3.46 ,2426478047,1411953339,5372592028
"Iced Tea - Lemon, 340ml",$4.43 ,8676137234,2171467150,7932134218
"Roe - Lump Fish, Black",$4.96 ,1029413606,7739580228,6803107973
Cheese - Roquefort Pappillon,$1.88 ,1323269703,1198473207,4379265374
Ginsing - Fresh,$0.30 ,489385702,2869061366,1277412774
Bay Leaf Ground,$1.17 ,8604507302,233870997,1028829108
Chambord Royal,$0.19 ,3856313346,4955837697,2482304504
Soup - French Can Pea,$2.94 ,9528501613,3524051669,724605517
Maintenance Removal Charge,$1.51 ,5468334089,809072157,8189098039
Wine - Alicanca Vinho Verde,$2.20 ,1578456940,9036729912,8285427528
Appetizer - Asian Shrimp Roll,$3.67 ,1797179535,3145268430,3421413339
Ezy Change Mophandle,$1.22 ,7218472672,2465518054,723021244
"Pepper - Chipotle, Canned",$4.99 ,6641362728,4029397352,186753888
"Lettuce - Mini Greens, Whole",$3.32 ,1118914066,4417707073,8674939457
Cheese Cloth No 60,$2.29 ,7720600029,7693562664,5810139965
